episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
134,Q039,0.3313,4,3,accepted,1,0.5,21.14,3251,581,259,0.003536,-0.520798,nan,-0.445379,-0.499293,-0.576885,True
135,Q026,0.4602,4,3,accepted,1,0.75,33.427,3223,585,261,0.00263,-0.537824,nan,-0.507649,-0.565789,-0.613375,True
136,Q062,0.3892,4,3,accepted,1,1.0,23.33,2806,589,263,0.002864,-0.53323,nan,-0.438698,-0.550932,-0.626007,True
137,Q004,0.4726,4,3,accepted,1,0.5,27.437,3268,593,265,0.001314,-0.494521,nan,-0.459124,-0.529044,-0.653318,True
138,Q050,0.5755,4,3,accepted,1,1.0,18.267,5322,597,267,0.002444,-0.493448,nan,-0.490852,-0.530432,-0.559246,True
139,Q077,0.1827,4,3,accepted,1,0.5,25.78,3516,601,269,0.003836,-0.517982,nan,-0.497709,-0.501543,-0.579032,True
140,Q016,0.495,4,3,accepted,1,1.0,18.71,4812,605,271,0.002764,-0.528076,nan,-0.495567,-0.522954,-0.59784,True
141,Q053,0.4848,4,3,accepted,1,1.0,18.342,4703,609,273,0.00153,-0.538892,nan,-0.471549,-0.559533,-0.59513,True
142,Q056,-1.1141,12,7,timeout,0,0.0,57.959,10626,621,279,0.008476,-0.497878,nan,-0.486802,-0.499239,-0.593934,True
143,Q068,0.4476,4,3,accepted,1,0.75,30.346,3513,625,281,0.009211,-0.488334,nan,-0.460002,-0.519029,-0.570471,True
144,Q046,0.8112,4,3,accepted,1,1.0,21.095,2758,629,283,0.013523,-0.4875,nan,-0.470933,-0.530514,-0.549329,True
145,Q029,0.4,4,3,accepted,1,1.0,11.463,2995,633,285,0.002233,-0.519578,nan,-0.410668,-0.49716,-0.57562,True
146,Q060,-0.6728,10,7,rejected,0,0.8,23.959,9634,643,290,0.010947,-0.510774,nan,-0.462156,-0.494773,-0.558076,True
